tick,phase_residual
0,0.009934283060224654
1,-0.0022652943567153597
2,0.013953704096680503
3,0.031960372138285294
4,-0.0026836007851350112
5,-0.002183780675449694
6,0.03458245663412006
7,0.018845836949934816
8,-0.005393753020240409
9,0.015345128331619846
10,-0.004276683023907837
11,-0.003825680029546397
12,0.010824855795766652
13,-0.03178389776217122
14,-0.027521200918048834
15,-0.0037738439611394925
16,-0.012290712075976177
17,0.014744064105255281
18,-0.009209002839133009
19,-0.018803129277880803
20,0.03924644191818415
21,0.005907468982574266
22,0.012262045247801943
23,-0.017096087547509714
24,0.0009974768308530762
25,0.01458864975692347
26,-0.0101658439538383
27,0.020850532201354997
28,0.001805008629829588
29,0.008463736259376246
30,0.0027418780884790397
31,0.05229849551235093
32,0.015458383536047211
33,-0.004952067159374587
34,0.0331252528491045
35,-0.007271982626647876
36,0.02179098356384961
37,-0.021112630879347415
38,-0.008017697507319475
39,0.022946645473540542
40,0.03424024871534074
41,0.02335783202302056
42,0.0180750570052137
43,0.014821466209674769
44,-0.008273466554048571
45,0.007351392537667336
46,0.012984629929080237
47,0.04378675879333173
48,0.029961324568443373
49,-0.011729508698696774
50,0.03045295631810605
51,0.016707216735819045
52,0.011305566886067665
53,0.037510192837059704
54,0.04632679003257467
55,0.044759963828856934
56,0.009774959431591401
57,0.020797354919674174
58,0.03402646546766497
59,0.04732895368808638
60,0.018648638912845968
61,0.02493019347174772
62,0.0069250585467446925
63,0.005533105415500061
64,0.04611028851600357
65,0.05738412085821844
66,0.029215640167065016
67,0.051119957309668465
68,0.03867237170187611
69,0.018924464018995914
70,0.03943879647205284
71,0.06335241988039622
72,0.03225271281637463
73,0.06463635486646502
74,-0.018680506500387634
75,0.05051998808867118
76,0.03618701362029099
77,0.028826614922050485
78,0.036999186490730564
79,-0.004233714671137465
80,0.031474366788225905
81,0.04335661014874206
82,0.06611517238117512
83,0.02653116419002519
84,0.02106228394067922
85,0.027528879385323904
86,0.05620017049880534
87,0.04479146904446895
88,0.027941739869607688
89,0.04911893603860832
90,0.04110789646833497
91,0.05884808679515531
92,0.025739019124271255
93,0.03352775411223349
94,0.03253574195761256
95,0.011400476276826315
96,0.04688198395634144
97,0.046465391110520296
98,0.041627137657447744
99,0.03710955626252309
100,0.013766134399386544
101,0.03392868577559358
102,0.03575111076693276
103,0.026819404074997794
104,0.03989449712884675
105,0.05145217841599162
106,0.08134149214145991
107,0.047351581470370864
108,0.04924889815870267
109,0.042842427407151024
110,0.006184943697090946
111,0.044254656775018046
112,0.04620962630764579
113,0.09448545171864703
114,0.04158445551017172
115,0.051669143859698306
116,0.045145920044483485
117,0.022663969134416147
118,0.06908675691070143
119,0.06145710901619383
120,0.06242259323922225
121,0.02859305098177452
122,0.07501085403467536
123,0.019087418840739258
124,0.05902634184848236
125,0.09125834348397888
126,0.02779379057691202
127,0.03642908818717918
128,0.049893820316214074
129,0.03797224012797965
130,0.017164640649537
131,0.04968050707675725
132,0.027189680731391167
133,0.058029267508755866
134,0.03028574240008991
135,0.07978485599168375
136,0.03322816427504108
137,0.0425541727458172
138,0.06536302086601138
139,0.02456775441188473
140,0.053821685191505604
141,0.07549786013634108
142,0.017282923451361447
143,0.05319790518750498
144,0.054770573294552795
145,0.06527210698742564
146,0.024954403953020607
147,0.023337085227193525
148,0.06023287353921995
149,0.055776581066820895
150,0.05488460633712025
151,0.05683658781481692
152,0.03633501276720934
153,0.054603471206793874
154,0.05583774099624758
155,0.03570215984894049
156,0.08731257623439345
157,0.05947664256482749
158,0.026171812380884035
159,0.06312185292939114
160,0.03048504674752883
161,0.06570327379591857
162,0.07311139875367428
163,0.03349875235184742
164,0.06914784165084513
165,0.05809886996142591
166,0.06624240269571664
167,0.08769002714358795
168,0.044794397789846396
169,0.03457045926755614
170,0.031792951930112966
171,0.03320013450849914
172,0.04790245411195299
173,0.0561907314813687
174,0.05481977492837806
175,0.06574296232441731
176,0.04936775369443906
177,0.07808190518254861
178,0.04361669367564312
179,0.10320692943091858
180,0.06120572849920989
181,0.03143319666279012
182,0.02703760648280058
183,0.057979167896528586
184,0.04372989410110539
185,0.062343770030606836
186,0.05738831664541661
187,0.04632199758950974
188,0.030692935352211674
189,0.017177336249514234
190,0.038384705343030304
191,0.06427897245096997
192,0.051264148566870324
193,0.02189407704157554
194,0.05009436921813367
195,0.0541543333447702
196,0.028583427315385757
197,0.04914304242848033
198,0.04703607213301049
199,0.022811262110448795
200,0.05262061854824975
201,0.05647021869362474
202,0.0667006844396369
203,0.06589632809827606
204,0.017043045188527162
205,0.02561161763336631
206,0.0544360728849719
207,0.05417392216819808
208,0.053957602701496785
209,0.12046535898537505
210,0.054578278546307035
211,0.06561720428535242
212,0.06172705934750786
213,0.05541171703279446
