Tick,Pulsar_0,Pulsar_1,Pulsar_2,Pulsar_3,Pulsar_4,Pulsar_5,Pulsar_6,Pulsar_7,Pulsar_8,Pulsar_9,Pulsar_10,Pulsar_11,Pulsar_12,Pulsar_13,Pulsar_14
0,-1.156734229380312,-0.9725076283348059,0.405916801183412,0.28704886002269175,2.1319665101266874,0.7609059032971287,1.3090682848596988,-0.025182475785880384,1.8891679903310812,0.06819352364959916,-1.0820138280628488,0.25584229109553813,-0.8243614340417675,1.4546248223812603,1.037347837894255
1,0.37757183554755974,-0.4623815800443821,-0.18885877293206074,0.6902872082093506,-0.8156940799347974,0.08708833014843334,-2.536728582375783,1.084252943762409,-0.013062951842215035,-0.34814828230092393,-0.2547331318824173,-1.7690163629504396,1.4033197664275892,1.6941128345553393,0.13223774925279477
2,-0.6036344126916987,1.325484006235424,-1.885359718674236,-0.14994325678701498,-0.413863417100485,-0.4391863664663414,0.392855363606137,1.5518147556181743,0.7768419447293576,-2.0522862816197507,0.37458197373346,2.7694941445490815,-0.8087265905670336,-1.4276787709636052,0.15137684289286463
3,-0.2931485904880789,0.030541651223512288,-0.08329560741562791,0.5907598670127632,-0.3597448418474971,-0.38470488051371177,-1.4799287053365604,-0.2612422419158561,0.18501389269899973,0.48029244603428795,-1.5175578079153453,0.2493395114926073,0.4613215825486167,-0.7805461732225955,-0.969185575763592
4,-0.6047076613311456,-1.207485856844513,1.0081703266978153,-0.8381698024836464,-0.18296118710438497,-1.3013099863975324,0.040651570753911265,-0.561566494009468,1.1506898652713422,-0.20136528262239112,-0.5195425677624171,-1.6936801418855572,0.2934627024326153,0.5010783900938229,1.2925633007056325
5,1.8615165370030435,1.1572328733409594,0.7402689933909171,-1.957841724345702,0.7343367881334042,-1.6541443681085115,0.8289495328454898,-0.11285885152710985,-2.6142585902735442,0.07262886046076623,-0.7588737937820083,0.9891262270211804,2.520804389854416,-0.8543881719935543,0.16909163046245285
6,-0.01356454298465519,0.7342934654653828,0.3905852373728324,0.5382389234807116,-1.2460838950230106,0.6805049408344235,1.4357884874431441,-1.7896207867401646,0.40939665972977873,1.1488369234563376,1.2517640352241146,-0.7203034503861521,-0.7508658488377536,-0.5543425157773411,-1.45298012288178
7,-1.0629863279107032,0.5982679097471887,-0.6138268111714659,1.8788437387330112,0.6257060823024645,0.048056928056262736,-0.5645549914145745,-1.1868306386330736,-0.29002973328338105,-0.6869780443094327,0.010322700608583172,0.9507237942764676,0.5872837920777385,0.9443659247591164,-0.13111102644506537
8,0.8266474059422865,0.6731667985667646,-2.0765063202186065,-1.1243726604374982,0.16683660633408662,-1.2896467318882807,-0.2549099249949889,0.2427895196182456,-1.2168025064557457,-1.5202151770890926,-0.10530118545782675,-0.7881384585063695,0.8230008542935806,-0.9999856920754308,-0.7723771846810358
9,-1.226932683504402,2.469615528894041,-0.8479620358407652,1.342772220875513,-0.22917787814124455,-1.3911067476065784,0.5098338900683049,0.8450374489063641,-0.20919154716977492,0.3412753792038472,-0.3177147993117003,2.0845532562138813,-0.3393459218463658,1.2937835226841234,-0.9861168723229037
10,0.2099053151577958,2.181283555288403,-0.6339954988590337,-0.03632801843128169,0.5422867029026508,-2.006721990489939,-0.3775476769854442,0.9951703265349574,-0.5316035264655994,0.042888276155430276,-1.9907241201686283,-0.14616516793557058,-0.6449428792635723,-0.36346904520396967,0.7351555355678103
11,-1.969444100341831,-0.5817431660320633,-0.19697943475151605,-1.0206441022847184,0.27384401289070825,-0.5617501039060225,1.297437112050327,-0.7433443877500775,-1.3638370884847701,0.39551044538301555,0.1580382835141372,-0.6390235474095206,-0.333762601662362,-0.018478048082036798,0.5212191838396663
12,-1.3348104593137213,1.7023287282928272,0.37570066249856815,-0.9649152261278657,1.1004681984023499,0.7145002428567185,0.329799321911324,-0.018200068217106236,-0.3055865097318029,-0.1814845778234658,-0.043981571404705384,0.7039832902615545,0.7477278301613212,2.1815717364078817,-0.3986764971059212
13,0.19784309351048338,0.37372048712585365,1.9138441158687292,-0.02563172445915282,-1.2987471241527566,-0.41529097547842214,-0.13410604021195663,-0.036136642084153056,0.25903158841228024,-0.6700830234074875,0.8368748912308341,-0.5299249305424232,-0.9315196536491006,0.15519951415770128,1.0077124625097764
14,0.7421497279308394,0.4603783469093769,0.043444906916587964,-0.5228880757348758,-0.5146224019836673,0.1203883160699328,0.4311910173266128,-0.2426912051052648,-1.6092220897364573,-0.8061800153171506,2.2199653163294495,-0.43369405066903727,0.6906168376473512,-1.137489594362276,-2.004241859483842
15,0.1722229911364474,-1.7075710990847521,0.03979321733878052,-1.2917353842710848,-0.04705303981174632,-0.6081827922043471,-0.181719472409046,0.4621828782797554,-1.193553244815846,-0.9577858514234867,-1.3173734342055783,-1.704936804894669,1.8285756143051417,-0.8276024770570205,1.592559516265096
